LATITUD,LONGITUD
25.70429963,-100.4518564
25.69862874,-100.4497601
25.7007017,-100.4461661
25.699151,-100.4424906
25.70214891,-100.4522839
25.70013428,-100.4543065
25.69909138,-100.4542505
25.69704715,-100.4524244
25.69527175,-100.4426026
25.69489985,-100.4482842
25.7064006,-100.5104011
25.70555026,-100.5106308
25.70548686,-100.509624
25.7022168,-100.5105153
25.70250497,-100.5097828
25.70281916,-100.5092563
25.70714494,-100.51117
25.70589512,-100.5096072
25.70512642,-100.5093393
25.69548401,-100.4410184
25.69946467,-100.4345074
25.69292148,-100.4377188
25.69021207,-100.4412141
25.69123819,-100.4373381
25.68839526,-100.4428347
25.68673026,-100.4402257
25.69069507,-100.4390289
25.68667455,-100.4434596
25.70122681,-100.5084725
25.70226532,-100.5078054
25.70305034,-100.5075477
25.70344194,-100.5079888
25.68721108,-100.4427898
25.70685839,-100.5101979
25.70541183,-100.5060219
25.70477127,-100.5046248
25.70583719,-100.5067137
25.70501887,-100.5075231
25.70489777,-100.5073632
25.70456595,-100.5069029
25.70423646,-100.5073314
25.70501388,-100.5058345
25.70357293,-100.5048513
25.70415828,-100.5054476
25.70326236,-100.5056517
25.70354275,-100.5065584
25.69399361,-100.4653172
25.67790094,-100.4622947
25.68172723,-100.4634678
25.67956684,-100.4897419
25.6796949,-100.4880562
25.67512514,-100.4806297
25.67987573,-100.4856074
25.67994748,-100.4859139
25.68009245,-100.4863979
25.68078995,-100.4858612
25.67450077,-100.4818651
25.67451105,-100.4801773
25.67483656,-100.4797106
25.67607177,-100.4809125
25.6761467,-100.4797163
25.68128346,-100.4651464
25.68094659,-100.4884661
25.67397527,-100.481612
25.67380581,-100.4810438
25.69357925,-100.4663696
25.69461806,-100.4653291
25.6835705,-100.4655679
25.67870365,-100.4652998
25.70747127,-100.4609771
25.69314748,-100.4686173
25.70184634,-100.4640889
25.70694839,-100.4622794
25.70248544,-100.46464
25.70686198,-100.4579625
25.70463271,-100.5011692
25.69983139,-100.5049349
25.69488572,-100.5001514
25.7038498,-100.5037881
25.70320729,-100.5033226
25.70220239,-100.5035225
25.70283907,-100.5020005
25.6954856,-100.4983776
25.6922006,-100.489806
25.70631134,-100.5020252
25.70091651,-100.5051567
25.70060456,-100.5035271
25.7033215,-100.4602188
25.70118992,-100.4583041
25.70462893,-100.4562919
25.70111421,-100.4596937
25.67428579,-100.4780173
25.69597562,-100.4294815
25.68920204,-100.4353842
25.68639381,-100.4316883
25.6888984,-100.4346423
25.68878238,-100.4337659
25.68832455,-100.4327558
25.68713078,-100.4357749
25.67267545,-100.4740092
25.67286022,-100.4732643
25.67355174,-100.4743204
25.6688549,-100.4696539
25.68164568,-100.4239761
