SECCION,COORD.,COLONIA,Lista Hombres,Lista Mujeres,% MUJERES LISTA NOMINAL,"LISTA
NOMINAL",% DE CONTRIBUCIÓN DE LISTA NOMINAL- PESO ELECTORAL,"RENTABILIDAD - PESO ELECTORAL
(ALTA: las que representan el 60% de contribución
MEDIA: 20%-40%
BAJA: 0%-20%)",Cantidad de casillas 2024,Cantidad de ubicaciones  Casillas,Total de la Lista Nominal 2024,Total de votos 2024,% Participación ciudadana 20212,Hector Castillo,%HC,Jesus Nava,%JN,Roberto Espinoza (Morena),%RE,Verde3,PT4,PES5,VIDA,Candidaturas NO registradas6,Votos Nulos7,Ganar,ganador1,VotosGanador,Diferencia
2002,CZ3 JORGE FRANCISCO MEDRANO SANCHEZ,"COLINAS DE SANTA CATARINA 
LA CONQUISTA 
LA ERMITA 
LOMAS DEL PONIENTE 2DO SECTOR 
MISION DE LAS VILLAS 
MISION DE LAS VILLAS SECTOR PANORAMICO 
MISION DE SANTA CATARINA 1ER SECTOR 
MISION DE SANTA CATARINA 2DO SECTOR 
MISION DE SANTA CATARINA 3ER SECTOR AZUL 
MISION DE SANTA CATARINA 3ER SECTOR DIAMANTE 
MISION DE SANTA CATARINA 4TO SECTOR 
MISION DE SANTA CATARINA SECTOR LOS PARQUES 
PRIVADA DE LA MISION 
VILLAS DEL MIRADOR",5716,5826,0.504765205,11763,0.049849557,Alta,22,2,11763,7291,0.619824875,3295,0.451927033,2997,0.411054725,599,0.082156083,84,105,34,55,5,117,PERDIDO,Hector Castillo,3295,0.040872308
2006,CZ6 NELSON AMAURY BARBOSA GONZALEZ,"ALTICA 
BALCONES DE SAN HUMBERTO 
CERRO DE LAS MITRAS (RAUL SALINAS LOZANO) 
CIMAS DE LAS MITRAS (AMPL RAUL SALINAS LOZANO) 
COOPERATIVA LA UNION 
LA ERMITA 
PASEO DE LAS MINAS 
PRADOS DE SAN JORGE 
PRADOS DEL SOL 
PRIVADAS DEL PTE 1 SECTOR 
PRIVADAS DEL PTE 2 SECTOR 
PRIVADAS DEL PTE 3 SECTOR 
PRIVADAS DEL PTE 4 SECTOR 
PRO VIVIENDA DEL PONIENTE 1 SECTOR 
PRO VIVIENDA DEL PONIENTE 2 SECTOR 
PRO VIVIENDA DEL PONIENTE 3 SECTOR 
SAN HUMBERTO 
VERTICE 
VILLAS DE SAN HUMBERTO",4444,4414,0.498306615,9007,0.038170106,Alta,12,1,9007,4920,0.546241812,2011,0.408739837,1791,0.36402439,724,0.147154472,108,78,18,51,1,138,PERDIDO,Hector Castillo,2011,0.044715447
2053,CZ20 MARIA DEL SOCORRO ESCAMILLA ALANIS,"ALFONSO MARTINEZ DOMINGUEZ 
ANDANTE PRIVADA RDCIAL 
BALCONES DE SANTA CATARINA ( FOMERREY 134) 
CENTRO DE SANTA CATARINA 
CERRADAS DE VALLE PLUS 
CERRADAS DEL VALLE 
EL CASTILLO 
LOMA PELONA 
PEDREGAL DE SANTA CATARINA 
PRADERAS DEL CASTILLO 
PRIVADA EL PINAL 
PRIVADA LAS FLORES 
PRIVADA OLIVOS 
PRIVADA ROBLE 
RDCIAL DE LA SIERRA SECTOR LOMAS 
RDCIAL EL CASTILLO 
REAL DEL VALLE 1ER SECTOR 
REAL DEL VALLE 2DO SECTOR 
REAL DEL VALLE 3ER SECTOR LAS NUBES 
REAL DEL VALLE SECTOR LOS ANGELES 
REAL DEL VALLE SECTOR MIRADOR 
SANTA MARTHA 2DO SECTOR",3499,3589,0.506348758,7195,0.030491164,Alta,12,2,7195,4660,0.647671994,1882,0.403862661,2000,0.429184549,493,0.105793991,61,75,39,23,3,84,GANADO,Jesus Nava,2000,0.025321888
2000,CZ2 OSWALDO PARTIDA CORTES,"LA CONQUISTA 
LAS SOMBRILLAS 
MISION DE LAS VILLAS 
REAL DE SANTA CATARINA 
SAN GILBERTO 
VISION DE LA HUASTECA",3550,3455,0.493219129,7074,0.029978387,Alta,10,1,7074,3708,0.524173028,1340,0.361380798,1483,0.399946063,557,0.15021575,94,85,19,26,1,103,GANADO,Jesus Nava,1483,0.038565265
2049,CZ16 FRANCISCO JAVIER ALONSO BERNAL,"BOSQUES DE SANTA CATARINA
LOMAS DE SANTA CATARINA
LOMAS DE SANTA CATARINA SECTOR EL EDEN
MIGUEL HIDALGO
MIRADOR DE LAS MITRAS
PRIVADA MONTEJO
PRIVADAS DE LA MONTAÑA
PRIVADAS DE SANTA CATARINA 1ER  SECTOR
PRIVADAS DE SANTA CATARINA, SECTOR ELITE
SIERRA MADRE
TORRES DE SANTA CATARINA
VISTAS DE LA  HUASTECA",3026,3058,0.502629849,6110,0.025893122,Alta,9,1,6110,3676,0.601636661,1283,0.349020675,1564,0.425462459,536,0.145810664,58,66,38,35,0,96,GANADO,Jesus Nava,1564,0.076441784
2003,CZ5 JUAN JESUS NAVARRO LOPEZ,"ALTICA
APICE
APICE DOS
APICE IV
APICE TRES
LA ERMITA
LOS PORTALES
MARTIRES DE CANANEA
PRADOS DEL REY
VILLAS DEL MIRADOR
Misión de Santa Catarina",3062,3021,0.496629952,6198,0.026266051,Alta,9,1,6198,3465,0.559051307,1338,0.386147186,1313,0.378932179,517,0.149206349,74,66,11,24,2,120,PERDIDO,Hector Castillo,1338,0.007215007
1999,CZ1 EFRAIN GARCIA SANDOVAL,"REAL DE SANTA CATARINA 
RINCON DE LAS PALMAS 
SAN GILBERTO",2989,3021,0.50266223,6088,0.02579989,Alta,9,1,6088,3348,0.549934297,1163,0.347371565,1389,0.414874552,499,0.149044205,69,63,20,35,1,109,GANADO,Jesus Nava,1389,0.067502987
2045,CZ18 MARIO ALBERTO MIRELES FRIAS,"CENTRO DE SANTA CATARINA
EL MOLINO
FRANCISCO NARANJO
JARDINES DE SANTA CATARINA
PRIVADA ENCINOS
ZIMIX
ZIMIX LEONES",2816,2870,0.504748505,5760,0.024409883,Alta,8,1,5760,3357,0.5828125,1153,0.343461424,1465,0.436401549,468,0.139410188,55,43,38,23,2,110,GANADO,Jesus Nava,1465,0.092940125
2048,CZ16 FRANCISCO JAVIER ALONSO BERNAL,"CORDILLERAS DEL VIRREY
LA PUERTA DE LA HUASTECA
LOMAS ALTAS 1ER SECTOR
LOMAS ALTAS 2DO SECTOR
LOMAS ALTAS 3ER SECTOR
LOMAS DE SANTA CATARINA
LOS VITRALES
PRADOS DE SANTA CATARINA
PRIVADAS LAS CATARINAS
SANTA CECILIA RDCIAL I",2183,2223,0.504539265,4459,0.01889647,Alta,6,1,4459,2729,0.612020632,854,0.312935141,1257,0.460608281,407,0.149138879,58,32,21,33,0,67,GANADO,Jesus Nava,1257,0.14767314
2009,CZ7 JOEL TORRES VAZQUEZ,"LOMAS DE LA FAMA
LOMAS DEL MIRADOR (ESFUERZO UNIDO)
PASEO DE LAS MINAS",2103,2112,0.501067616,4272,0.018103996,Alta,6,1,4272,1896,0.443820225,695,0.366561181,673,0.354957806,328,0.172995781,40,37,3,17,0,103,PERDIDO,Hector Castillo,695,0.011603375
2008,CZ7 JOEL TORRES VAZQUEZ,"CERRO DE LAS MITRAS (RAUL SALINAS LOZANO)
CIMAS DE LAS MITRAS (AMPL RAUL SALINAS LOZANO)
CIMAS DEL PONIENTE
EUGENIO CANAVATI
PASEO DE LAS MINAS",2076,2076,0.5,4184,0.017731068,Alta,6,1,4184,1808,0.432122371,616,0.340707965,590,0.326327434,361,0.199668142,62,48,5,19,0,107,PERDIDO,Hector Castillo,616,0.014380531
2019,CZ9 BRENDA YANETH ESPINOZA RIVAS,"HACIENDA LOS PORTALES
LOS PORTALES
VILLA PORTALES",1777,1771,0.499154453,3590,0.015213798,Alta,5,1,3590,2239,0.62367688,895,0.399732023,822,0.367128182,329,0.146940598,59,46,19,17,0,52,PERDIDO,Hector Castillo,895,0.032603841
2039,CZ11 ABRAHAM RODRIGUEZ MORENO,"COOPERATIVA UNION DEL NOROESTE
EL ESCORIAL
LABORES NUEVAS
LAS PALMAS
PRIVADA SAN ANTONIO
PRO VIVIENDA DEL PONIENTE 4 SECTOR
SARABIA
SENDEROS
TEPEYAC",1699,1797,0.514016018,3503,0.014845107,Alta,5,1,3503,1798,0.513274336,616,0.342602892,713,0.396551724,277,0.154060067,48,34,15,14,1,80,GANADO,Jesus Nava,713,0.053948832
2786,CZ13 CARLOS ALBERTO ALANIS PEREZ,"HACIENDA EL PALMAR
LAS PALMAS
LOS NOGALES
MISION DE SANTA CATARINA 4TO SECTOR
PRIVADA SAN PEDRO RESIDENCIAL
PRIVADAS DEL PARQUE
RINCON DEL PONIENTE
SANTA CATARINA
SARABIA",1691,1563,0.480331899,3336,0.01413739,Alta,9,3,3336,1830,0.548561151,544,0.29726776,848,0.463387978,304,0.166120219,25,26,9,22,0,52,GANADO,Jesus Nava,848,0.166120218
